,Player,Att,Yds
1,Ezekiel Elliott,2.309623999,2.873805455
2,LeGarrette Blount,2.006800694,1.543571646
3,David Johnson,1.92780331,1.764333852
4,DeMarco Murray,1.92780331,1.900187518
5,Todd Gurley,1.73030985,0.762413068
6,Lamar Miller,1.598647543,1.294506592
7,Frank Gore,1.53281639,1.158652927
8,Le'Veon Bell,1.506483929,1.846412109
9,Jay Ajayi,1.493317698,1.857733247
10,Melvin Gordon,1.414320314,1.079404955
11,Jordan Howard,1.387987853,1.97377492
12,LeSean McCoy,1.150995701,1.843581824
13,Devonta Freeman,1.058832086,1.3114883
14,Jeremy Hill,0.993000933,0.632219972
15,Matt Forte,0.94033601,0.55863257
16,Jonathan Stewart,0.94033601,0.589765702
17,Carlos Hyde,0.92716978,1.053932393
18,Spencer Ware,0.887671088,0.864303318
19,Mark Ingram,0.769175012,1.209598051
20,Isaiah Crowell,0.677011397,0.952042143
21,Latavius Murray,0.637512705,0.487875453
22,Terrance West,0.611180244,0.448251467
23,Rashad Jennings,0.453185476,-0.064030064
24,Devontae Booker,0.361021861,-0.010254655
25,Robert Kelley,0.282024477,0.250131538
26,Jerick McKinnon,0.163528401,-0.216865438
27,Ryan Mathews,0.110863478,0.128429296
28,Christine Michael,0.018699864,-0.092332911
29,Doug Martin,-0.033965059,-0.550839032
30,Tim Hightower,-0.178793596,-0.191392876
31,Bilal Powell,-0.205126057,0.301076662
32,T.J. Yeldon,-0.218292288,-0.426306506
33,Jacquizz Rodgers,-0.231458519,-0.157429459
34,Matt Asiata,-0.336788364,-0.604614442
35,Tevin Coleman,-0.376287056,-0.270640847
36,Chris Ivory,-0.389453287,-0.499893908
37,Paul Perkins,-0.45528444,-0.451779068
38,C.J. Anderson,-0.481616901,-0.505554477
39,Derrick Henry,-0.481616901,-0.355549388
40,Thomas Rawls,-0.494783132,-0.754619531
41,Mike Gillislee,-0.600112977,-0.109314619
42,Alfred Blue,-0.613279208,-0.553669317
43,Matt Jones,-0.626445439,-0.440457929
44,DeAngelo Williams,-0.639611669,-0.771601239
45,Darren Sproles,-0.692276592,-0.502724193
46,Theo Riddick,-0.718609053,-0.731977253
47,Giovani Bernard,-0.731775284,-0.788582947
48,Dwayne Washington,-0.744941515,-0.992363446
49,Kenneth Dixon,-0.771273976,-0.661220136
50,Charcandrick West,-0.771273976,-0.913115474
51,Zach Zenner,-0.771273976,-0.797073801
52,Justin Forsett,-0.784440207,-0.918776044
53,DeAndre Washington,-0.784440207,-0.420645936
54,Jalen Richard,-0.837105129,-0.352719103
55,Ty Montgomery,-0.916102513,-0.448948783
56,Wendell Smallwood,-0.916102513,-0.859340065
57,Rex Burkhead,-0.955601205,-0.768770954
58,Shaun Draughn,-0.955601205,-1.18765309
59,Duke Johnson,-0.968767436,-0.729146969
60,Eddie Lacy,-0.995099897,-0.723486399
61,Alfred Morris,-1.021432359,-1.054629709
62,Chris Thompson,-1.034598589,-0.734807538
63,Dion Lewis,-1.087263512,-0.941418321
64,James Starks,-1.100429743,-1.33199761
65,Jeremy Langford,-1.113595973,-1.176331951
66,Kenneth Farrow,-1.139928435,-1.198974229
67,Fozzy Whittaker,-1.179427126,-0.992363446
68,Peyton Barber,-1.205759588,-1.111235403
69,Charles Sims,-1.25842451,-1.320676471
